N,P,K,pH,Organic_Carbon,Temperature,Humidity,Rainfall,Crop,Soil_Type,Fertilizer
34.7,22.4,16.8,4.57,1.69,27.9,51.8,1185.0,Rice,Sandy,NPK 15-15-15
26.3,32.6,45.7,7.14,2.35,36.8,50.4,1025.0,Beans,Loamy,NPK 15-15-15
42.8,12.2,51.3,7.16,1.64,26.6,94.3,1578.0,Wheat,Loamy,DAP
20.9,22.3,28.3,6.92,1.77,24.5,93.5,549.0,Millet,Clay,Organic Compost
30.0,13.1,43.3,7.35,1.1,28.3,73.4,988.0,Cassava,Loamy,DAP
56.9,50.2,24.6,7.46,1.14,36.7,73.2,444.0,Cassava,Clay,Organic Compost
31.3,33.4,25.9,6.47,1.72,26.6,44.6,1886.0,Rice,Sandy,NPK 15-15-15
28.0,61.7,59.6,5.79,0.97,34.1,63.2,1948.0,Maize,Clay,Organic Compost
11.8,37.5,49.5,5.88,2.34,26.2,93.4,1446.0,Millet,Silt,Urea
29.0,51.4,22.0,8.02,0.62,31.3,93.1,1447.0,Sorghum,Loamy,NPK 20-10-10
24.3,28.5,6.0,6.08,1.03,34.5,77.3,1383.0,Beans,Sandy,Potash
48.1,12.2,22.6,6.83,1.15,31.7,82.6,1726.0,Cassava,Silt,DAP
6.6,19.7,9.1,5.68,2.25,37.0,85.2,401.0,Cassava,Sandy,NPK 15-15-15
16.3,17.8,33.3,6.84,0.99,30.9,92.4,495.0,Wheat,Sandy,NPK 20-10-10
9.6,32.0,5.1,7.24,0.59,30.4,74.1,1780.0,Maize,Sandy,NPK 20-10-10
16.4,10.0,24.1,6.34,0.57,37.1,57.3,403.0,Beans,Sandy,NPK 20-10-10
50.8,26.4,37.0,6.89,0.95,32.0,52.8,735.0,Rice,Clay,Potash
18.4,40.1,31.9,5.16,1.65,22.5,63.4,1821.0,Maize,Silt,Urea
13.4,8.7,27.6,6.6,1.77,37.5,59.2,1681.0,Tomato,Sandy,NPK 20-10-10
10.2,33.9,20.5,7.07,1.94,27.1,69.5,1402.0,Rice,Silt,Urea
7.3,34.4,6.0,5.27,1.96,19.7,54.4,646.0,Beans,Sandy,NPK 20-10-10
6.9,18.8,11.3,8.08,0.64,30.0,66.5,1325.0,Sorghum,Sandy,NPK 15-15-15
39.4,26.8,35.8,5.85,0.9,19.7,45.6,1935.0,Maize,Silt,NPK 15-15-15
34.8,42.7,27.2,6.13,1.98,22.5,68.9,736.0,Rice,Loamy,Organic Compost
61.8,27.6,51.1,8.01,1.82,37.3,94.7,1683.0,Tomato,Clay,Organic Compost
40.9,58.5,54.9,4.91,1.07,23.2,87.0,773.0,Millet,Clay,Organic Compost
23.2,60.4,40.6,5.2,1.0,34.0,74.9,1143.0,Tomato,Clay,Organic Compost
52.4,50.2,38.7,8.13,1.96,26.5,92.8,1833.0,Rice,Clay,Organic Compost
25.8,29.3,16.0,6.7,1.21,24.9,92.2,664.0,Sorghum,Silt,Potash
9.2,9.7,26.0,6.18,1.1,31.4,66.7,519.0,Maize,Silt,NPK 20-10-10
14.7,21.0,42.1,7.08,2.3,33.1,69.5,900.0,Maize,Loamy,NPK 15-15-15
13.7,12.5,34.2,5.14,0.47,37.0,56.8,1029.0,Tomato,Sandy,DAP
41.8,32.4,25.2,5.85,1.74,23.1,48.4,1514.0,Maize,Loamy,Potash
43.3,30.3,41.1,7.93,0.45,26.2,51.2,1995.0,Tomato,Silt,NPK 20-10-10
20.4,48.0,9.2,5.2,1.76,33.9,88.6,881.0,Rice,Silt,Potash
9.1,44.3,22.2,5.24,1.3,32.2,87.9,745.0,Tomato,Silt,Urea
35.7,27.7,20.6,8.18,1.98,22.4,45.0,719.0,Maize,Loamy,NPK 15-15-15
17.6,12.9,23.9,6.3,1.4,34.6,54.0,1819.0,Tomato,Silt,NPK 20-10-10
10.4,12.4,23.7,5.02,0.59,19.5,73.3,1687.0,Millet,Sandy,NPK 20-10-10
41.3,11.3,25.1,4.75,2.41,32.9,77.8,1492.0,Beans,Silt,DAP
46.8,39.1,27.7,4.67,0.46,20.8,72.8,1677.0,Wheat,Silt,Potash
19.6,10.3,49.5,7.39,1.46,29.5,70.9,807.0,Cassava,Silt,NPK 20-10-10
12.4,21.7,14.2,7.2,1.65,28.6,92.3,916.0,Sorghum,Sandy,NPK 20-10-10
43.7,33.6,21.0,4.51,1.96,31.3,76.6,1100.0,Cassava,Loamy,Potash
12.2,20.6,20.4,7.55,1.35,26.7,94.1,1831.0,Sorghum,Sandy,NPK 20-10-10
25.8,55.8,27.7,6.07,2.56,19.9,86.2,1192.0,Cassava,Clay,Organic Compost
31.1,45.0,44.5,4.55,0.98,24.7,69.4,515.0,Beans,Silt,NPK 20-10-10
15.3,37.5,27.3,4.76,0.79,20.8,74.1,540.0,Wheat,Silt,Urea
11.4,45.3,48.3,4.66,2.49,23.6,76.6,680.0,Cassava,Silt,Urea
49.1,49.7,11.2,6.93,1.0,20.5,48.2,1898.0,Wheat,Silt,Potash
49.3,41.9,21.0,6.24,2.0,31.5,65.5,1220.0,Rice,Silt,NPK 15-15-15
26.6,24.3,23.6,6.9,1.34,26.5,48.8,1939.0,Sorghum,Loamy,NPK 15-15-15
16.0,37.5,26.3,6.03,2.33,33.2,68.6,1150.0,Cassava,Silt,Urea
26.1,27.8,32.0,8.07,0.58,37.9,78.7,1348.0,Beans,Sandy,NPK 15-15-15
29.1,24.6,11.0,6.76,0.71,27.9,72.1,1417.0,Maize,Sandy,Potash
12.8,23.2,33.0,7.38,2.04,24.6,46.1,1827.0,Wheat,Sandy,NPK 20-10-10
35.0,41.0,25.8,4.53,1.77,18.8,63.8,1720.0,Wheat,Loamy,NPK 20-10-10
5.6,19.8,13.3,7.8,1.97,26.1,81.9,946.0,Maize,Sandy,NPK 15-15-15
16.4,21.1,45.2,6.21,1.1,18.7,63.0,1201.0,Beans,Silt,Urea
16.1,24.3,31.7,6.9,1.82,34.3,49.1,882.0,Maize,Sandy,NPK 15-15-15
26.2,49.0,15.7,6.2,1.17,22.0,60.5,1442.0,Maize,Loamy,Potash
46.0,28.2,49.2,4.77,1.01,26.3,72.0,1273.0,Beans,Silt,NPK 20-10-10
19.7,42.3,31.4,6.31,1.06,24.1,61.4,1622.0,Sorghum,Silt,Urea
39.9,35.9,47.9,6.46,1.84,27.6,77.4,1098.0,Rice,Silt,NPK 15-15-15
26.6,23.3,19.4,7.13,0.68,24.5,46.9,602.0,Cassava,Sandy,Organic Compost
21.8,47.8,50.9,5.12,1.96,27.2,90.5,1175.0,Millet,Loamy,NPK 20-10-10
46.0,17.5,42.8,5.22,1.82,27.0,45.8,601.0,Maize,Silt,DAP
43.3,20.8,32.5,4.86,1.98,33.9,89.1,1817.0,Millet,Loamy,Potash
50.6,18.3,14.6,5.66,2.07,31.9,94.3,975.0,Maize,Loamy,Superphosphate
40.9,17.0,47.8,6.4,2.12,34.5,66.3,1586.0,Cassava,Silt,DAP
54.6,43.8,29.2,8.09,2.48,30.4,94.1,1204.0,Millet,Clay,Organic Compost
14.0,35.6,40.6,4.91,0.96,32.4,83.6,1977.0,Cassava,Loamy,Urea
19.4,17.6,43.4,6.15,2.15,23.7,51.7,1278.0,Millet,Loamy,NPK 20-10-10
15.0,21.4,40.2,4.95,1.75,29.7,69.6,1175.0,Maize,Silt,Urea
26.8,54.2,22.6,6.28,1.53,22.0,44.9,520.0,Millet,Clay,Superphosphate
54.0,57.8,32.3,5.11,1.3,35.6,62.0,573.0,Tomato,Clay,Organic Compost
15.3,31.8,32.8,6.34,1.07,27.7,52.1,1165.0,Sorghum,Sandy,NPK 20-10-10
44.7,53.7,48.2,4.82,0.87,28.6,54.2,423.0,Maize,Loamy,Organic Compost
22.8,41.4,61.0,7.01,0.75,28.3,89.6,487.0,Wheat,Clay,Organic Compost
42.3,18.5,51.0,5.69,0.51,19.7,65.2,464.0,Sorghum,Loamy,DAP
20.6,54.0,61.2,4.61,1.99,38.0,83.8,1209.0,Maize,Clay,Organic Compost
20.3,17.4,29.5,5.88,1.12,21.6,86.5,1528.0,Tomato,Silt,DAP
25.4,24.7,46.3,4.9,2.51,23.6,41.4,1769.0,Tomato,Clay,Organic Compost
8.6,24.8,15.8,7.55,1.79,35.6,74.2,1647.0,Wheat,Sandy,NPK 20-10-10
41.6,40.5,12.3,7.08,0.98,28.8,46.1,437.0,Rice,Loamy,DAP
5.6,9.0,21.8,5.98,2.56,34.2,48.1,1067.0,Rice,Sandy,NPK 20-10-10
28.8,36.1,34.9,5.82,1.95,23.8,86.0,1943.0,Maize,Silt,NPK 15-15-15
54.2,40.6,23.7,7.41,1.3,22.2,74.5,1099.0,Millet,Clay,Superphosphate
29.5,36.0,12.8,7.24,1.83,27.9,69.1,1928.0,Maize,Silt,Potash
16.1,20.5,32.6,7.52,1.25,35.7,60.8,834.0,Tomato,Sandy,NPK 20-10-10
23.7,17.3,28.9,8.03,0.99,28.2,79.8,654.0,Sorghum,Sandy,DAP
18.4,49.3,30.3,5.15,0.83,33.7,91.5,1005.0,Millet,Loamy,Potash
35.5,23.6,25.9,5.75,1.42,30.9,69.8,663.0,Wheat,Silt,NPK 15-15-15
30.9,12.6,14.4,6.46,1.01,30.6,60.5,753.0,Cassava,Silt,Superphosphate
14.6,42.0,26.1,7.89,0.83,35.5,84.9,566.0,Cassava,Silt,Urea
33.3,28.8,52.6,7.09,2.52,34.9,84.9,1561.0,Tomato,Loamy,NPK 15-15-15
38.4,15.2,37.1,4.88,2.49,30.9,70.6,717.0,Beans,Loamy,DAP
41.0,38.0,33.5,5.44,1.56,27.2,86.8,1831.0,Maize,Loamy,Potash
6.1,32.8,34.8,4.97,1.91,26.5,48.2,1997.0,Maize,Sandy,NPK 20-10-10
18.2,33.2,50.5,7.0,1.36,28.3,42.1,1378.0,Beans,Loamy,Urea
26.7,41.8,43.6,5.77,0.46,32.9,53.4,1431.0,Wheat,Clay,Organic Compost
22.7,25.9,22.2,6.56,1.36,26.6,67.0,1123.0,Cassava,Sandy,NPK 15-15-15
38.4,13.6,46.2,6.81,0.51,31.2,59.9,1888.0,Rice,Silt,DAP
31.8,46.6,35.3,7.74,0.75,36.1,76.4,885.0,Millet,Silt,NPK 20-10-10
46.2,8.2,31.2,7.14,0.43,33.3,75.8,840.0,Tomato,Silt,DAP
54.6,56.4,40.4,6.38,1.28,24.9,88.0,888.0,Rice,Clay,Organic Compost
35.6,42.2,14.9,5.44,0.63,21.2,62.4,1641.0,Maize,Silt,Potash
23.8,28.9,16.8,5.41,2.08,18.5,84.9,1687.0,Wheat,Sandy,Potash
24.5,56.7,40.0,5.95,1.66,19.2,75.4,1912.0,Wheat,Clay,Organic Compost
33.8,25.7,6.7,6.98,0.53,24.1,73.9,745.0,Cassava,Sandy,Superphosphate
42.4,31.0,48.8,7.81,0.59,33.7,48.6,927.0,Maize,Clay,Organic Compost
15.2,45.0,46.1,8.19,2.46,26.7,47.3,417.0,Tomato,Loamy,Urea
13.0,11.0,18.2,7.81,1.39,32.5,65.4,997.0,Sorghum,Sandy,NPK 15-15-15
39.7,26.1,19.2,5.01,0.4,20.3,49.1,1504.0,Wheat,Silt,Potash
38.4,49.8,48.4,5.49,0.72,21.1,89.3,564.0,Cassava,Silt,NPK 20-10-10
45.8,45.0,53.0,6.62,2.27,19.7,87.2,1344.0,Wheat,Clay,Organic Compost
59.5,55.5,58.3,5.91,0.9,21.7,88.1,1723.0,Maize,Clay,Organic Compost
34.6,14.0,14.9,6.25,2.09,21.5,90.4,1494.0,Sorghum,Silt,Superphosphate
33.1,38.8,24.2,5.96,0.43,28.8,81.8,1950.0,Cassava,Silt,NPK 15-15-15
49.2,14.3,9.7,7.27,2.39,37.0,85.4,728.0,Cassava,Silt,Superphosphate
22.5,19.6,8.3,6.22,1.65,32.5,62.8,909.0,Tomato,Sandy,Superphosphate
13.1,5.6,33.4,7.29,0.84,29.3,72.7,602.0,Wheat,Sandy,NPK 20-10-10
41.3,28.0,53.5,6.24,1.8,24.0,43.2,664.0,Wheat,Clay,Organic Compost
42.9,8.9,40.1,6.29,1.86,25.2,74.1,457.0,Wheat,Silt,Potash
17.4,12.6,51.2,5.48,1.68,34.8,81.0,475.0,Millet,Loamy,NPK 20-10-10
15.5,27.6,33.9,5.04,0.72,32.7,65.0,1672.0,Sorghum,Sandy,NPK 20-10-10
49.3,61.8,24.0,7.7,1.25,18.3,68.1,846.0,Wheat,Clay,Organic Compost
19.5,11.0,29.8,7.92,1.29,27.0,94.0,627.0,Maize,Sandy,NPK 20-10-10
45.0,20.3,20.4,5.71,0.44,21.4,94.7,798.0,Sorghum,Silt,Urea
35.6,14.9,46.0,7.55,0.87,34.0,59.9,1077.0,Sorghum,Loamy,DAP
28.1,33.0,24.3,6.41,1.9,19.9,90.6,1550.0,Maize,Loamy,Organic Compost
27.3,14.4,20.6,7.68,2.53,23.6,75.8,1776.0,Millet,Sandy,DAP
29.2,44.7,8.1,6.12,1.69,28.5,80.3,505.0,Wheat,Silt,Potash
42.6,25.6,9.8,8.07,2.12,25.0,54.9,1342.0,Maize,Silt,Potash
33.4,14.9,26.1,5.91,0.59,36.7,49.0,1912.0,Maize,Sandy,DAP
46.7,35.7,16.0,6.69,0.8,35.5,42.7,1248.0,Maize,Silt,Superphosphate
54.9,35.6,30.0,4.95,2.32,19.6,74.6,988.0,Millet,Clay,Organic Compost
31.0,46.6,48.7,6.66,2.15,30.7,63.5,492.0,Wheat,Silt,NPK 20-10-10
24.9,29.7,50.7,5.05,1.92,32.4,59.4,813.0,Beans,Clay,Organic Compost
45.5,51.2,56.2,4.61,2.0,24.3,86.1,521.0,Tomato,Clay,Organic Compost
26.0,53.7,16.6,5.0,1.82,28.3,54.5,887.0,Rice,Loamy,Potash
43.9,30.3,36.5,7.85,2.35,19.4,76.0,645.0,Maize,Clay,Organic Compost
45.6,11.5,44.7,7.2,2.11,33.8,67.9,1915.0,Tomato,Silt,DAP
21.4,42.5,11.5,6.1,2.1,24.2,53.2,820.0,Cassava,Silt,Potash
36.9,42.9,59.5,7.44,0.81,35.7,86.5,1592.0,Millet,Clay,Organic Compost
42.6,34.3,25.3,4.54,0.91,30.1,46.2,1449.0,Sorghum,Loamy,Potash
7.5,9.2,15.7,7.51,1.8,35.4,94.7,724.0,Millet,Sandy,NPK 15-15-15
33.2,26.0,26.7,7.0,1.77,24.4,46.5,1325.0,Millet,Loamy,NPK 15-15-15
12.2,24.1,45.5,7.25,0.42,27.4,64.1,1444.0,Millet,Loamy,Urea
59.8,35.6,34.2,4.6,0.53,36.6,93.7,409.0,Cassava,Clay,Organic Compost
43.6,48.5,35.1,6.46,1.78,21.9,94.7,726.0,Sorghum,Clay,NPK 20-10-10
17.9,17.0,13.3,4.6,0.98,25.9,68.6,1132.0,Beans,Sandy,NPK 15-15-15
21.3,48.3,44.3,7.93,1.95,22.0,50.7,1854.0,Beans,Silt,NPK 20-10-10
43.0,21.1,28.5,8.08,0.44,32.3,93.8,567.0,Beans,Loamy,Potash
43.4,29.3,10.5,4.97,1.23,24.5,52.1,1744.0,Sorghum,Silt,Urea
34.5,34.3,14.3,6.6,1.23,22.6,72.1,402.0,Rice,Silt,Potash
27.1,14.1,8.1,5.5,1.61,28.7,47.2,1382.0,Wheat,Silt,Superphosphate
42.2,46.2,56.9,8.0,0.49,22.1,46.4,1636.0,Beans,Clay,Potash
20.9,45.3,31.6,6.24,1.37,33.0,67.3,1074.0,Beans,Clay,Organic Compost
41.3,38.9,28.5,7.83,1.47,36.6,84.2,640.0,Beans,Silt,NPK 20-10-10
45.3,61.0,42.9,5.79,1.64,18.6,71.9,1844.0,Cassava,Clay,Potash
46.5,16.6,48.4,7.33,1.48,22.9,55.8,1380.0,Millet,Loamy,DAP
59.1,50.6,50.9,8.04,0.41,22.9,76.2,1101.0,Maize,Clay,Organic Compost
6.4,21.3,21.9,6.85,1.09,18.5,88.9,1887.0,Millet,Sandy,NPK 20-10-10
22.4,14.5,10.5,5.13,0.79,24.6,55.4,1738.0,Wheat,Sandy,Superphosphate
18.3,49.7,14.4,5.39,1.77,32.0,84.1,1056.0,Cassava,Loamy,NPK 20-10-10
36.4,27.0,26.1,4.56,2.49,19.2,54.9,1874.0,Maize,Loamy,NPK 15-15-15
47.8,24.1,54.0,5.43,2.5,22.6,74.4,1273.0,Sorghum,Clay,Organic Compost
52.8,28.9,60.4,5.59,1.78,30.4,65.9,1449.0,Maize,Clay,Organic Compost
21.8,23.2,17.1,4.76,0.75,30.1,91.0,441.0,Sorghum,Sandy,Potash
36.2,44.2,43.6,7.18,2.11,19.5,68.0,819.0,Maize,Loamy,NPK 20-10-10
16.6,22.5,31.6,8.06,0.64,29.4,58.8,1434.0,Millet,Loamy,Urea
28.6,7.7,29.5,5.28,1.7,24.9,73.5,828.0,Rice,Sandy,DAP
35.7,54.7,39.4,6.35,1.77,26.7,87.7,1045.0,Wheat,Clay,Organic Compost
25.7,23.4,36.4,7.29,0.81,22.8,48.0,1617.0,Beans,Silt,NPK 15-15-15
42.5,52.1,59.8,5.16,1.07,25.0,74.4,618.0,Rice,Clay,Organic Compost
21.3,9.8,16.7,5.0,1.2,26.0,46.2,496.0,Millet,Sandy,Superphosphate
12.1,39.6,16.0,7.5,2.34,30.3,73.7,994.0,Beans,Loamy,NPK 20-10-10
9.0,25.2,19.1,5.16,1.69,33.9,72.4,1247.0,Cassava,Sandy,NPK 20-10-10
33.9,25.2,16.1,8.12,1.29,24.7,49.3,1996.0,Wheat,Silt,Potash
31.8,14.2,38.1,6.29,0.64,29.1,90.1,946.0,Wheat,Silt,Superphosphate
28.0,30.9,18.0,5.16,0.65,19.4,67.9,1747.0,Wheat,Silt,Potash
17.4,6.1,21.1,5.43,1.73,25.0,76.7,1870.0,Rice,Sandy,NPK 20-10-10
28.6,23.0,28.1,7.52,1.89,37.4,79.0,1060.0,Millet,Clay,Organic Compost
41.2,31.4,42.7,5.16,2.38,38.0,76.6,713.0,Wheat,Silt,NPK 20-10-10
44.6,39.4,47.9,6.36,2.35,21.3,50.1,1220.0,Maize,Silt,NPK 20-10-10
41.5,10.2,38.3,4.83,2.26,22.0,80.4,1347.0,Wheat,Silt,DAP
14.5,27.2,20.6,5.0,2.02,22.3,52.3,945.0,Wheat,Loamy,Urea
40.6,37.3,32.7,5.96,0.98,32.2,57.5,1759.0,Maize,Loamy,Potash
41.4,59.0,37.7,6.08,2.36,30.1,64.7,819.0,Millet,Clay,Organic Compost
31.7,20.2,20.8,8.12,1.63,27.8,90.5,963.0,Cassava,Clay,Organic Compost
28.0,40.5,48.6,5.24,0.44,34.4,62.2,1271.0,Millet,Silt,NPK 20-10-10
50.3,60.0,40.0,8.11,1.52,30.4,77.1,1184.0,Maize,Clay,Organic Compost
23.2,37.5,9.6,7.09,1.07,23.4,78.1,744.0,Millet,Silt,Potash
18.7,17.0,7.4,7.38,0.76,36.7,94.5,596.0,Tomato,Sandy,NPK 15-15-15
30.7,15.5,38.4,5.12,2.35,27.1,74.9,1875.0,Beans,Silt,DAP
29.3,31.9,26.7,8.0,0.96,26.2,82.8,983.0,Sorghum,Loamy,NPK 15-15-15
21.3,46.4,41.3,7.95,1.33,20.7,58.1,1029.0,Beans,Clay,Organic Compost
21.5,32.2,17.7,6.91,0.9,34.0,54.8,1328.0,Beans,Sandy,Potash
25.7,21.1,50.4,5.48,2.54,27.8,52.2,1026.0,Rice,Loamy,NPK 15-15-15
8.6,31.2,6.4,5.61,0.71,31.7,68.2,1903.0,Cassava,Sandy,NPK 20-10-10
40.0,32.3,42.8,6.08,2.02,21.4,95.0,678.0,Beans,Silt,NPK 15-15-15
28.5,30.8,31.3,6.26,1.34,34.7,71.9,1394.0,Wheat,Sandy,NPK 15-15-15
16.1,25.0,10.9,6.0,2.27,28.9,89.3,772.0,Beans,Sandy,NPK 20-10-10
29.2,41.4,18.4,6.42,0.71,30.6,85.7,432.0,Wheat,Loamy,Potash
50.3,23.1,37.1,7.41,1.57,33.0,60.0,1872.0,Cassava,Clay,DAP
34.7,32.2,39.5,5.35,0.9,33.0,56.0,1564.0,Wheat,Loamy,NPK 15-15-15
42.6,49.8,47.1,4.53,1.59,36.3,72.9,865.0,Wheat,Loamy,Organic Compost
28.1,32.4,32.2,5.76,1.73,20.0,45.2,514.0,Tomato,Sandy,NPK 15-15-15
32.7,30.6,26.0,6.49,0.41,25.6,66.4,1685.0,Rice,Loamy,NPK 15-15-15
35.8,25.9,36.8,8.06,0.87,21.5,91.9,1920.0,Millet,Clay,Organic Compost
17.9,19.8,20.0,8.08,0.81,33.5,40.3,1406.0,Millet,Sandy,NPK 15-15-15
51.8,44.4,43.5,5.44,2.58,27.4,63.0,1203.0,Millet,Loamy,Organic Compost
15.5,12.2,32.8,7.93,1.49,37.2,62.9,1020.0,Sorghum,Sandy,NPK 20-10-10
27.9,17.4,17.2,4.81,2.53,22.6,67.2,583.0,Tomato,Sandy,Superphosphate
52.2,42.2,25.4,4.54,0.87,32.5,85.6,946.0,Cassava,Clay,Organic Compost
31.4,34.0,27.6,4.83,1.36,37.8,52.6,1473.0,Rice,Sandy,NPK 15-15-15
45.6,41.3,59.0,5.96,2.38,26.6,81.6,1865.0,Millet,Clay,Organic Compost
14.2,46.8,38.7,5.47,2.33,36.4,88.8,1362.0,Maize,Loamy,Urea
16.5,54.2,35.6,7.9,2.07,31.0,58.0,443.0,Millet,Loamy,Urea
56.3,20.1,28.7,6.99,1.02,20.8,44.5,1421.0,Tomato,Clay,Organic Compost
25.5,17.9,46.4,8.16,1.19,35.3,81.9,1859.0,Millet,Loamy,DAP
17.1,44.8,49.1,6.19,0.53,19.3,72.9,1870.0,Wheat,Loamy,Urea
35.3,50.3,47.8,5.24,1.89,35.0,91.2,1344.0,Tomato,Loamy,NPK 20-10-10
48.0,31.4,60.9,5.35,2.4,26.5,40.0,1269.0,Sorghum,Clay,Organic Compost
35.2,16.0,51.9,6.59,1.0,36.0,46.7,556.0,Millet,Loamy,DAP
20.3,32.9,12.9,8.16,0.44,20.4,50.2,527.0,Sorghum,Sandy,Potash
54.5,51.3,20.3,7.7,1.27,32.6,80.0,684.0,Millet,Clay,Organic Compost
19.0,38.0,48.2,5.83,1.25,27.1,84.5,1103.0,Beans,Silt,Urea
49.5,45.5,33.2,8.05,1.91,37.2,48.9,761.0,Rice,Silt,Potash
28.0,44.4,39.1,5.77,1.28,26.2,46.9,767.0,Cassava,Loamy,NPK 20-10-10
17.6,16.5,24.5,5.08,1.24,22.2,75.8,580.0,Millet,Sandy,NPK 20-10-10
55.0,50.4,59.6,7.02,1.17,22.6,43.1,844.0,Sorghum,Clay,Organic Compost
42.2,41.8,25.7,6.38,0.88,28.1,68.1,882.0,Maize,Loamy,Potash
30.6,31.6,8.3,5.17,1.18,37.3,49.6,885.0,Beans,Silt,Potash
33.4,46.6,40.8,8.04,0.58,33.8,55.3,1691.0,Cassava,Clay,Organic Compost
31.0,26.5,9.3,4.69,1.15,27.9,56.6,1588.0,Millet,Sandy,Potash
29.2,45.8,43.9,8.16,2.1,23.7,40.8,1949.0,Beans,Loamy,NPK 20-10-10
46.1,43.6,44.3,7.94,2.41,25.6,41.7,462.0,Millet,Loamy,Organic Compost
43.6,25.0,20.7,6.37,2.23,30.7,47.7,980.0,Millet,Silt,Potash
29.9,33.0,8.0,5.33,1.26,23.9,62.5,465.0,Sorghum,Sandy,Organic Compost
42.6,20.9,21.0,4.87,0.43,25.1,85.9,1872.0,Beans,Silt,NPK 15-15-15
9.8,28.0,11.1,5.35,2.36,35.5,76.9,662.0,Wheat,Sandy,NPK 20-10-10
48.2,52.8,26.0,7.82,1.42,33.9,42.8,977.0,Rice,Clay,NPK 20-10-10
34.2,52.8,51.5,6.87,1.93,31.0,75.3,959.0,Millet,Clay,NPK 15-15-15
14.0,32.2,32.0,5.16,2.13,32.1,70.8,1881.0,Cassava,Loamy,Urea
27.7,42.9,28.6,7.71,1.07,27.8,69.1,892.0,Maize,Clay,Organic Compost
52.0,45.4,39.3,6.16,1.98,25.5,64.0,662.0,Tomato,Clay,Organic Compost
34.7,9.3,16.5,5.38,1.04,24.4,79.5,683.0,Wheat,Sandy,Superphosphate
21.9,47.5,24.0,7.38,1.42,27.0,85.3,443.0,Wheat,Silt,NPK 20-10-10
27.1,51.0,26.6,8.12,2.46,23.4,58.7,1699.0,Cassava,Loamy,NPK 20-10-10
13.4,16.6,29.0,7.26,2.03,30.2,55.0,1065.0,Tomato,Silt,NPK 20-10-10
21.6,33.2,16.7,4.66,1.92,18.4,93.4,960.0,Maize,Silt,NPK 15-15-15
42.3,26.3,22.9,6.92,1.29,29.1,55.3,932.0,Tomato,Silt,Potash
22.7,48.9,18.9,6.26,1.07,31.9,84.5,1179.0,Millet,Silt,Potash
10.7,23.0,27.0,5.5,1.84,32.7,46.5,918.0,Tomato,Sandy,NPK 20-10-10
36.4,31.3,25.7,4.52,0.44,22.8,46.4,591.0,Millet,Loamy,NPK 15-15-15
13.9,37.5,18.3,5.9,2.58,28.4,41.9,956.0,Sorghum,Loamy,NPK 20-10-10
53.5,30.3,12.9,6.5,1.89,27.1,91.0,1843.0,Rice,Loamy,Potash
14.4,23.2,23.0,5.51,2.49,24.1,84.2,1731.0,Wheat,Sandy,Urea
32.6,15.5,30.1,6.27,1.41,36.1,64.2,1592.0,Wheat,Sandy,DAP
6.6,11.2,26.7,5.88,1.4,20.0,74.3,1686.0,Wheat,Sandy,NPK 20-10-10
5.5,5.5,20.0,5.49,1.91,33.9,45.6,1868.0,Sorghum,Sandy,Organic Compost
28.5,40.7,16.2,7.97,2.46,28.4,68.0,1416.0,Tomato,Loamy,Potash
37.3,48.9,38.3,5.22,2.41,22.3,49.1,1995.0,Sorghum,Loamy,NPK 20-10-10
31.6,42.7,10.6,6.31,0.55,26.6,58.9,619.0,Wheat,Silt,Potash
48.3,51.0,52.0,7.27,1.08,34.6,68.6,835.0,Tomato,Loamy,Organic Compost
32.0,45.6,32.8,5.49,0.59,35.1,63.0,1107.0,Maize,Loamy,NPK 20-10-10
34.0,39.2,22.3,7.96,1.65,32.4,46.3,1419.0,Millet,Loamy,NPK 15-15-15
48.7,53.4,34.7,7.73,0.88,29.3,48.3,863.0,Cassava,Clay,Organic Compost
51.4,26.1,41.9,4.84,1.81,36.2,70.5,979.0,Wheat,Loamy,NPK 20-10-10
24.9,48.0,47.9,7.28,1.1,26.0,92.8,1318.0,Tomato,Clay,Organic Compost
11.9,16.9,27.8,7.14,2.53,31.1,57.2,1036.0,Beans,Sandy,NPK 20-10-10
30.9,24.9,13.6,5.58,1.79,18.6,93.1,1855.0,Tomato,Silt,NPK 15-15-15
33.8,22.8,32.9,7.49,1.86,22.8,79.6,1533.0,Millet,Clay,Organic Compost
42.4,34.9,13.3,7.5,1.11,32.1,77.1,937.0,Sorghum,Silt,Potash
43.7,43.2,34.3,5.34,1.1,33.1,62.6,1572.0,Tomato,Silt,Potash
23.1,23.0,23.8,5.49,2.18,27.7,81.9,1378.0,Wheat,Sandy,NPK 15-15-15
32.1,29.4,35.2,4.82,2.4,24.7,52.4,1635.0,Tomato,Silt,NPK 15-15-15
25.7,20.5,10.6,4.65,0.61,18.1,58.0,897.0,Beans,Silt,Potash
10.6,11.0,15.7,5.67,0.73,25.3,90.7,819.0,Rice,Silt,NPK 15-15-15
28.6,10.0,41.1,7.15,2.55,36.8,72.1,1498.0,Tomato,Silt,DAP
43.2,33.7,20.4,6.67,1.56,34.2,50.3,1705.0,Beans,Clay,Superphosphate
33.9,38.2,29.4,5.18,2.17,22.6,80.5,1538.0,Tomato,Clay,Urea
28.7,28.9,29.3,6.66,2.59,21.6,44.0,1527.0,Beans,Sandy,NPK 15-15-15
16.8,15.0,31.8,5.03,0.82,31.4,83.0,1732.0,Sorghum,Sandy,NPK 20-10-10
